cluster,source_name,url,type,why_useful,examples,mode
"AI, Data Science и разработка ПО",Stack Overflow Developer Survey 2025,https://survey.stackoverflow.co/2025/,CSV/таблицы,"Срез по разработчикам, стеку, AI-инструментам, ролям и обучению.",AI-инструменты в разработке; активность open-source проектов; динамика исследований по LLM,code и no-code
"AI, Data Science и разработка ПО",GH Archive,https://www.gharchive.org/,JSON/events,Публичная активность GitHub по часам/событиям. Удобен как пример event data.,AI-инструменты в разработке; активность open-source проектов; динамика исследований по LLM,code и no-code
"AI, Data Science и разработка ПО",OpenAlex API,https://api.openalex.org,API/JSON,Поиск научных работ и метаданных по AI/ML и software engineering.,AI-инструменты в разработке; активность open-source проектов; динамика исследований по LLM,code и no-code
"AI, Data Science и разработка ПО",Kaggle Datasets,https://www.kaggle.com/datasets,каталог датасетов,Быстрый вход в прикладные табличные датасеты и примеры описаний.,AI-инструменты в разработке; активность open-source проектов; динамика исследований по LLM,code и no-code
"Кибербезопасность, инфраструктура и системные сервисы",CISA Known Exploited Vulnerabilities Catalog,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,таблица/CSV,Официальный каталог реально эксплуатируемых уязвимостей.,каталог активных уязвимостей; интернет-измерения; метаданные инфраструктуры,лучше с демонстрацией преподавателя + опциональный code
"Кибербезопасность, инфраструктура и системные сервисы",NVD Vulnerability APIs,https://nvd.nist.gov/developers/vulnerabilities,API/JSON,Госисточник по CVE и метаданным уязвимостей.,каталог активных уязвимостей; интернет-измерения; метаданные инфраструктуры,лучше с демонстрацией преподавателя + опциональный code
"Кибербезопасность, инфраструктура и системные сервисы",RIPE Atlas APIs,https://atlas.ripe.net/docs/apis/,API/JSON,Сетевые измерения и метаданные интернет-инфраструктуры.,каталог активных уязвимостей; интернет-измерения; метаданные инфраструктуры,лучше с демонстрацией преподавателя + опциональный code
"Кибербезопасность, инфраструктура и системные сервисы",CAIDA datasets overview,https://www.caida.org/catalog/datasets/overview/,каталог данных,"Сетевые измерения, топология, интернет-события, исследовательские датасеты.",каталог активных уязвимостей; интернет-измерения; метаданные инфраструктуры,лучше с демонстрацией преподавателя + опциональный code
"Био, здоровье, химия и foodtech",WHO Global Health Observatory,https://www.who.int/data/gho,портал/таблицы,"Международные индикаторы по здоровью, странам и периодам.",показатели здоровья по странам; динамика публикаций в biotech; nutrition / food systems indicators,no-code + лёгкий code
"Био, здоровье, химия и foodtech",WHO Global Health Estimates,https://www.who.int/data/global-health-estimates,портал/таблицы,"Смертность и инвалидизация по странам, полу, возрасту и причинам.",показатели здоровья по странам; динамика публикаций в biotech; nutrition / food systems indicators,no-code + лёгкий code
"Био, здоровье, химия и foodtech",World Bank Indicators,https://data.worldbank.org/indicator,портал/таблицы/API,"Здоровье, население, питание, доступ к инфраструктуре, развитие.",показатели здоровья по странам; динамика публикаций в biotech; nutrition / food systems indicators,no-code + лёгкий code
"Био, здоровье, химия и foodtech",OpenAlex API,https://api.openalex.org,API/JSON,"Поиск научных статей и тем по биоинформатике, biotech, food systems.",показатели здоровья по странам; динамика публикаций в biotech; nutrition / food systems indicators,no-code + лёгкий code
"Урбанистика, экология, климат и энергетика",Портал открытых данных РФ,https://data.gov.ru/,портал/CSV/JSON,"Российские открытые данные по городам, услугам, среде и ведомствам.",качество городской среды; климатические ряды; энергетика и устойчивость,no-code + браузер + опциональный API
"Урбанистика, экология, климат и энергетика",NOAA Climate Data Online,https://www.ncei.noaa.gov/cdo-web/,портал/API,Исторические погодные и климатические данные.,качество городской среды; климатические ряды; энергетика и устойчивость,no-code + браузер + опциональный API
"Урбанистика, экология, климат и энергетика",Data.gov,https://data.gov/,портал,"Федеральный каталог открытых данных США, в т.ч. environment и transport.",качество городской среды; климатические ряды; энергетика и устойчивость,no-code + браузер + опциональный API
"Урбанистика, экология, климат и энергетика",World Bank Indicators,https://data.worldbank.org/indicator,портал/таблицы/API,"Урбанизация, климат, энергия, экология, население.",качество городской среды; климатические ряды; энергетика и устойчивость,no-code + браузер + опциональный API
"Инженерия, робототехника, фотоника и производство",NASA Open Data Portal,https://data.nasa.gov/,портал/метаданные,"Хороший пример большого каталога, где важно читать именно метаданные и ресурсы.",сенсорные данные; аэрокосмические и инженерные наборы; транспортные и производственные индикаторы,лучше через curated shortlist
"Инженерия, робототехника, фотоника и производство",NOAA / NCEI,https://www.ncei.noaa.gov/,портал/таблицы/API,Экологические и геофизические данные для инженерных и транспортных кейсов.,сенсорные данные; аэрокосмические и инженерные наборы; транспортные и производственные индикаторы,лучше через curated shortlist
"Инженерия, робототехника, фотоника и производство",UCI Machine Learning Repository,https://archive.ics.uci.edu/,каталог датасетов,Сенсорные и инженерные учебные датасеты.,сенсорные данные; аэрокосмические и инженерные наборы; транспортные и производственные индикаторы,лучше через curated shortlist
"Инженерия, робототехника, фотоника и производство",Data.gov,https://data.gov/,портал,"Транспорт, геоданные, энергоинфраструктура, сенсоры и производство.",сенсорные данные; аэрокосмические и инженерные наборы; транспортные и производственные индикаторы,лучше через curated shortlist
